 3	 3.5 
 4	 10.5 
 5	 31.5 
 6	 94.5 
 7	 283.5 
 8	 850.5 
 9	 2551.5 
 10	 7654.5 
 11	 22963.5 
 12	 68890.5 
 13	 206672 
 14	 620014 
 15	 1.86004e+06 
 16	 5.58013e+06 
 17	 1.67404e+07 
 18	 5.02212e+07 
 19	 1.50664e+08 
 20	 4.51991e+08 
 21	 1.35597e+09 
 22	 4.06792e+09 
 23	 1.22037e+10 
 24	 3.66112e+10 
 25	 1.09834e+11 
 26	 3.29501e+11 
 27	 9.88503e+11 
 28	 2.96551e+12 
 29	 8.89653e+12 
 30	 2.66896e+13 
 31	 8.00688e+13 
 32	 2.40206e+14 
 33	 7.20619e+14 
 34	 2.16186e+15 
 35	 6.48557e+15 
 36	 1.94567e+16 
 37	 5.83701e+16 
 38	 1.7511e+17 
 39	 5.25331e+17 
 40	 1.57599e+18 
 41	 4.72798e+18 
 42	 1.41839e+19 
 43	 4.25518e+19 
 44	 1.27655e+20 
 45	 3.82966e+20 
 46	 1.1489e+21 
 47	 3.4467e+21 
 48	 1.03401e+22 
 49	 3.10203e+22 
 50	 9.30609e+22 
 51	 2.79183e+23 
 52	 8.37548e+23 
 53	 2.51264e+24 
 54	 7.53793e+24 
 55	 2.26138e+25 
 56	 6.78414e+25 
 57	 2.03524e+26 
 58	 6.10572e+26 
 59	 1.83172e+27 
 60	 5.49515e+27 
 61	 1.64855e+28 
 62	 4.94564e+28 
 63	 1.48369e+29 
 64	 4.45107e+29 
 65	 1.33532e+30 
 66	 4.00596e+30 
 67	 1.20179e+31 
 68	 3.60537e+31 
 69	 1.08161e+32 
 70	 3.24483e+32 
 71	 9.73449e+32 
 72	 2.92035e+33 
 73	 8.76104e+33 
 74	 2.62831e+34 
 75	 7.88494e+34 
 76	 2.36548e+35 
 77	 7.09645e+35 
 78	 2.12893e+36 
 79	 6.3868e+36 
 80	 1.91604e+37 
 81	 5.74812e+37 
 82	 1.72444e+38 
 83	 5.17331e+38 
 84	 1.55199e+39 
 85	 4.65598e+39 
 86	 1.39679e+40 
 87	 4.19038e+40 
 88	 1.25711e+41 
 89	 3.77134e+41 
 90	 1.1314e+42 
 91	 3.39421e+42 
 92	 1.01826e+43 
 93	 3.05479e+43 
 94	 9.16436e+43 
 95	 2.74931e+44 
 96	 8.24793e+44 
 97	 2.47438e+45 
 98	 7.42313e+45 
 99	 2.22694e+46 
 100	 6.68082e+46 
 101	 2.00425e+47 
 102	 6.01274e+47 
 103	 1.80382e+48 
